연번,업체명,연락처,시도,시군구,기본주소,상세주소,주요사업
237,(유)국제서림,061-244-1902,전남,목포시,전라남도 목포시 영산로75번길 27-2(죽동),,"서적, 문구"
238,하얀마을 제과점,061-834-4504,전남,고흥군,전라남도 고흥군 도화면 동신길 34,,"제과, 제빵"
239,삼양미용실,061-835-3393,전남,고흥군,"전라남도 고흥군 고흥읍 여산당촌길 4-1, 107호",,미용
240,김향숙헤어클리닉,062-368-2959,광주,서구,"광주광역시 서구 내방로 340-2(화정동, 1층)",,미용
241,칼리지미용실,062-526-5874,광주,북구,광주광역시 북구 우치로 63(중흥동),,미용
242,다락방아트센타,062-264-3598,광주,북구,광주광역시 북구 금재로 36번길 56(북동),,공예품
243,희망그릇,062-224-5215,광주,동구,광주광역시 동구 천변우로 495(학동),,그릇 및 잡화
244,삼풍베이커리,062-225-3372,광주,동구,광주광역시 동구 남문로 674(학동),,"제과, 제빵"
245,보보리스,062-951-6122,광주,광산구,"광주광역시 광산구 사암로216번길 16(우산동, 103호)",,미용
246,유한회사 제이베이커스,061-722-3822,전남,순천시,"전라남도 순천시 팔마로 269, 나동(연향동)",,"제과, 제빵"
247,자연가든,043-851-8431,충북,충주시,충청북도 충주시 살미면 중원대로 2461,,한정식
248,옹기장터,043-846-8136,충북,충주시,충청북도 충주시 주덕읍 충청대로 2238,,염소탕
249,책이있는글터,043-848-4256,충북,충주시,"충청북도 충주시 국원대로 191, 1층(금릉동)",,서점
250,연게소문,043-291-2123,충북,청주시,충청북도 청주시 서원구 수곡로57번길 32-2(수곡동),,"갈비, 게장"
251,서문우동,043-256-3334,충북,청주시,충청북도 청주시 상당구 무심동로392번길 8(서문동),,"우동, 빵"
252,느티나무집,043-532-5534,충북,진천군,충청북도 진천군 진천읍 백곡로 1253,,민물잡고기 매운탕
253,서울화원,042-836-4366,충북,증평군,"충청북도 증평군 증평읍 중앙로 206, 103호(서울빌딩)",,생화및관엽
254,청풍황금송어,043-652-4769,충북,제천시,충청북도 제천시 금성면 청풍호로39길 25,,송어비빔회
255,무궁화식당,043-643-4956,충북,제천시,충청북도 제천시 독순로 91-4(중앙로2가),,순대국밥
256,덩실분식,043-643-2133,충북,제천시,충청북도 제천시 독순로 6길 5(의림동),,찹쌀떡
257,강박사냉면숯불갈비,043-647-5596,충북,제천시,충청북도 제천시 청전대로 91(청전동),,"냉면,숯불갈비,갈비탕"
258,문정식당,043-731-4407,충북,옥천군,충청북도 옥천군 옥천읍 향수3길 20,,중국요리
259,감골생고기타운,043-743-0042,충북,영동군,충청북도 영동군 영동읍 계산로1길 32,,삼겹살
260,경희식당,043-543-3736,충북,보은군,충청북도 보은군 속리산면 사내7길 11-4,,한정식
261,칠갑산골,041-942-7811,충남,청양군,충청남도 청양군 대치면 장곡길 147,,"산채정식, 참게요리"
262,학화호도과자,041-551-3370,충남,천안시,충청남도 천안시 동남구 대흥로 233(대흥동),,호도과자
263,청화집순대,041-564-1558,충남,천안시,충청남도 천안시 동남구 병천면 충절로 1749,,"순대국, 순대"
264,원조옥수사,041-551-1202,충남,천안시,"충청남도 천안시 동남구 영성로 25-3, 1층 28호(사직동)",,"칼국수, 수육"
265,홍콩반점,041-545-2771,충남,아산시,충청남도 아산시 온천대로 1507(온천동),,중화요리
266,정문농산,041-545-7133,충남,아산시,"충청남도 아산시 번영로 149, 1층(권곡동)",,쌀
267,보령자동차공업사,041-935-0070,충남,보령시,충청남도 보령시 중앙로 33(대천동),,자동차종합수리
268,독일베이커리,041-356-0403,충남,당진시,"충청남도 당진시 밤절로 168, 1층, 106호(수청동, 로뎀타워)",,제과점
269,강경할미젓갈,041-745-1342,충남,논산시,충청남도 논산시 강경읍 옥녀봉로19번길 21,,젓갈
270,옛날고도리추어탕,041-752-7039,충남,금산군,충청남도 금산군 추부면 삼육로 6,,추어탕
271,남촌가든,041-754-0848,충남,금산군,충청남도 금산군 제원면 낙안길 34-5,,어죽
272,별장가든,041-942-3312,충남,청양군,충청남도 청양군 청양읍 충절로 1494,,한정식
273,귀빈식당,041-841-8027,충남,공주시,충청남도 공주시 사곡면 마곡상가길 12,,"산더덕정식, 능이버섯전골"
274,누네안경원,064-757-9285,제주,제주시,제주특별자치도 제주시 서광로 236-1(삼도일동),,안경 및 콘택트렌즈
275,진미명가식당,064-794-3639,제주,서귀포시,제주특별자치도 서귀포시 안덕면 사계남로 167,,일본음식점
276,그때산집,063-277-0492,전북,전주시,전라북도 전주시 완산구 태평5길 13-4(태평동),,복어요리
277,호텔한성,063-288-0014,전북,전주시,전라북도 전주시 완산구 전주객사5길 43-3(고사동),,숙박
278,바이크나라,063-272-9630,전북,전주시,전라북도 전주시 덕진구 권삼득로 106(진북동),,오토바이
279,물머리집,063-836-8558,전북,익산시,전라북도 익산시 금마면 고도1길 56-5,,매운탕
280,모성,063-834-8787,전북,익산시,전라북도 익산시 하나로 453(영등동),,중식
281,추어향,063-625-5545,전북,남원시,전라북도 남원시 요천로 1455(쌍교동),,"추어탕, 추어허브떡갈비"
282,인산인해,063-633-2022,전북,남원시,전라북도 남원시 시청동로 26(도통동),,"삼계탕, 닭볶음탕"
283,삼포식당,063-635-0271,전북,남원시,전라북도 남원시 요천로 2264(식정동),,고추장 더덕장어구이
284,빵굽는오남매,063-463-8186,전북,군산시,"전라북도 군산시 오룡로 65-1, 1층, 2층(명산동)",,제과점
285,빈해원,063-445-2429,전북,군산시,전라북도 군산시 동령길 57(장미동),,중식
286,일도당 인쇄,063-445-4701,전북,군산시,전라북도 군산시 중앙로 196-1(중앙로1가),,"인장,인쇄"
287,대영,063-445-1264,전북,군산시,전라북도 군산시 구시장로 17-2(대명동),,"벽지,바닥재"
288,인천장가든,063-564-8643,전북,고창군,전라북도 고창군 아산면 원평길 9,,민물새우탕
289,키다리슈즈,070-7255-1333,전북,고창군,전라북도 고창군 고창읍 동리로 63,,장화
290,덕양 은혜 곱창,061-683-9178,전남,여수시,전라남도 여수시 소라면 하세동길 7-1,,곱창전골
291,옥수헤어모드,061-682-1775,전남,여수시,전라남도 여수시 좌수영로 472(둔덕동),,헤어미용
292,리가토탈헤어클럽,061-662-0730,전남,여수시,"전라남도 여수시 충무로 45(충무동, 1층)",,토탈미용
293,미주농원,061-744-5292,전남,순천시,"전라남도 순천시 상사호길 120(덕월동, 외 1필지 가동, 나동(1층))",,"닭, 오리고기, 삽겸살"
294,박귀월 머리마을,061-274-2721,전남,목포시,전라남도 목포시 원산중앙로 106 (연산동),,미용업
295,일광서점,061-332-8940,전남,나주시,전라남도 나주시 나주로 180(중앙동),,"서적, 문구"
296,인현통닭삼계탕,032-763-8487,인천,중구,"인천광역시 중구 참외전로 134, 1층(인현동, 외 2필지)",,삼계탕
297,락캠프,032-518-1245,인천,부평구,"인천광역시 부평구 길주로 547(갈산동, 지하1층)",,"호프, 공연"
298,창조할인마트,032-507-0022,인천,부평구,"인천광역시 부평구 부흥로303번길 14(부평동, 1층)",,슈퍼마켓
299,영광상회,032-515-3444,인천,부평구,"인천광역시 부평구 부흥로304번길 27, 나동 21호(부평동)","인천광역시 부평구 부흥로304번길 27, 나동 21호)","가공식품, 건어물"
300,깜상네,032-772-9588,인천,동구,인천광역시 동구 화도진로5번길 8(금곡동),,"오리로스, 삼계탕"
301,샤론한복,,인천,동구,인천광역시 동구 송현동 98,,한복
302,단골식당,032-937-1131,인천,강화군,인천광역시 강화군 화도면 마니산로678,,"젓국갈비, 약쑥시래기밥"
303,주식회사 제일도기타일상사,052-298-4000,울산,중구,울산광역시 중구 가구거리 82(반구동),,자기타일
304,김경란 박사 헤어큐어,052-201-3930,울산,동구,울산광역시 동구 봉수로 307(전하동),,미용
305,촌당,052-266-9289,울산,남구,울산광역시 남구 수암로90번길 21(신정동),,식육
306,주식회사 만리장성,052-291-0002,울산,남구,울산광역시 남구 문수로480번길 7(신정동),,중화요리
307,꽃안에서,052-266-2425,울산,남구,울산광역시 남구 삼산로 36(신정동),,생화
308,명신당,02-736-2466,서울,종로구,서울특별시 종로구 인사동길 34(관훈동),,문방사우 판매
309,연서순대국,02-355-8752,서울,은평구,"서울특별시 은평구 통일로 850, B동 6호(불광동)",,순대국
310,싸리골,02-355-3086,서울,은평구,"서울특별시 은평구 서오릉로 195, 2층 202호(구산동)",,"국물갈비, 삼겹살"
311,두꺼비집,031-483-2379,서울,은평구,"서울특별시 은평구 연서로28길 5(대조동, 185-31,32,33,34,35)",,부대찌개
312,서울가발박사,02-720-2000,서울,영등포구,서울특별시 영등포구 경인로 828(영등포동),,맞춤가발
313,골목집,02-2648-3073,서울,양천구,서울특별시 양천구 목동중앙북로 4(목동),,닭볶음탕
314,주식회사 산무리,02-418-2350,서울,송파구,"서울특별시 송파구 삼학사로 101, 4층(삼전동, 1,2,3,4층)",,오징어볶음
315,3대 삼계장인,02-522-2270,서울,서초구,"서울특별시 서초구 반포대로28길 56-3, 1층(서초동, 한라빌딩)",,삼계탕
316,주식회사 맛난세상,02-703-0019,서울,마포구,서울특별시 마포구 토정로37길 47(염리동),,바싹불고기
317,르네상스제과점,02-751-2808,서울,마포구,서울특별시 마포구 토정로 282(용강동),,건강한 빵
318,함스브로트,02-996-4488,서울,도봉구,서울특별시 도봉구 도봉로 483(쌍문동),,제빵
319,참누렁소,02-979-6400,서울,노원구,서울특별시 노원구 공릉로63길 13(하계동),,한우구이
320,구이구이돼지촌쭈꾸미,02-2662-3450,서울,강서구,"서울특별시 강서구 초원로 77, 1층(방화동)",,쭈꾸미구이
321,옥류헌,02-993-1829,서울,강북구,서울특별시 강북구 삼양로181길 142(우이동),,"한정식, 커피"
322,섬진강식당,02-993-9545,서울,강북구,서울특별시 강북구 한천로 1151(수유동),,장어구이
323,초롱이고모부대찌개,02-442-3546,서울,강동구,"서울특별시 강동구 상암로11길 4, 1층(암사동)",,부대찌개
324,별미손칼국수,02-3426-9601,서울,강동구,"서울특별시 강동구 양재대로141길 9, 1층(명일동, 서교빌딩)",,칼국수 등
325,베이크 하우스,02-543-7881,서울,강남구,"서울특별시 강남구 봉은사로71길 49, 1층(삼성동)",,제과
326,㈜비앤테일러샵,02-763-9997,서울,강남구,서울특별시 강남구 도산대로81길 31(청담동),,맞춤정장
327,해운대원조할매국밥,051-731-3363,부산,해운대구,"부산광역시 해운대구 좌동로53번길 29, A동 1층(중동)",,국밥
328,선창횟집,051-747-7470,부산,해운대구,부산광역시 해운대구 달맞이길62번길 67(중동),,"회, 생선뼈찜"
329,원조서울삼계탕,051-245-3696,부산,중구,부산광역시 중구 남포길 36(남포동2가),,삼계탕
330,어머니간장게장,051-254-1150,부산,중구,부산광역시 중구 대청로137번길 8-2(중앙동3가),,"게장, 한정식"
331,뚜쥬루과자점,051-751-0779,부산,수영구,부산광역시 수영구 광일로20번길 7(광안동),,제과
332,유림,051-753-6747,부산,수영구,"부산광역시 수영구 망미번영로38번길 72, 2층(광안동)",,미용
333,세탁백화점,051-312-1470,부산,사상구,부산광역시 사상구 엄궁남로40(엄궁동),,세탁소
334,윤오토자동차정비,051-805-9155,부산,부산진구,"부산광역시 부산진구 새싹로 180-1(연지동, 외 340-16)",,자동차부분정비
335,현대음향사,051-816-2233,부산,부산진구,"부산광역시 부산진구 부전로162번길 28, 202호(부전동, 서면종합시장2층)",,"음향기기, 악기"
336,구기영 조방낙지,051-528-7055,부산,동래구,"부산광역시 동래구 명장로20번길 60, 1,2층(명장동)",,낙지전골
337,경양식 달과6펜스,051-441-0284,부산,동구,"부산광역시 동구 중앙대로226번길 7-2, 1층(초량동)",,돈가스
338,대화단추,051-633-4141,부산,동구,"부산광역시 동구 진시장로 24(범일동, 진시장 1층 상포141-4)",,"의복부착물, 단추"
339,궁중해물탕조씨집,051-627-4749,부산,남구,부산광역시 남구 진남로 7-11(대연동),,해물탕
340,하동집,055-741-1410,부산,금정구,부산광역시 금정구 오륜대로 260(오륜동),,한식
341,동경식당,051-831-7972,부산,강서구,"부산광역시 강서구 신호산단1로72번길 17, 2,3층(신호동)",,일식
342,주식회사 사리원푸드,042-256-6506,대전,중구,대전광역시 중구 중교로 62(대흥동),,"갈비, 냉면"
343,박속낙지,042-863-5496,대전,유성구,대전광역시 유성구 하기로 153(하기동),,낙지요리
344,사리원면옥,042-487-4209,대전,서구,대전광역시 서구 둔산로31번길 77(둔산동),,"냉면, 갈비탕"
345,귀빈돌솥밥,042-488-3340,대전,서구,대전광역시 서구 만년로68번길 21(만년동),,돌솥밥
346,서울이용원,042-222-6665,대전,동구,대전광역시 동구 대전로 805(중동),,가발
347,"한국문구도매센터, 활문사",042-632-2552,대전,동구,대전광역시 동구 대전로867번길 51(삼성동),,문구
348,오문창순대국밥식당,042-621-4325,대전,대덕구,대전광역시 대덕구 한발대로 1153(중리동),,순대국밥
349,주식회사서해냉동식품,042-631-1789,대전,대덕구,대전광역시 대덕구 한밭대로 976(오정동),,냉동수산물
350,부창생갈비,053-255-0968,대구,중구,대구광역시 중구 국채보상로 492-12(동산동),,생갈비
351,미림식당,053-554-6636,대구,중구,대구광역시 중구 국채보상로93길 6(대신동),,돈까스
352,김종희플로라 (김종희플라워디자인학원),053-422-2660,대구,수성구,대구광역시 수성구 국채보상로 920-1(범어동),,생화
353,용해원,053-311-2837,대구,북구,"대구광역시 북구 태전로7길 6(태전동, 1층)",,중식
354,까치산,053-951-1515,대구,북구,대구시 북구 호국로 233(서변동),,돼지갈비
355,유성카토피아,053-351-2771,대구,북구,대구광역시 북구 원대로23길 4(노원동1가),,자동차부분정비
356,우일완구사,053-424-1205,대구,북구,대구광역시 북구 칠성시장로7길 25(칠성동 1가),,완구
357,블루문레스토랑,053-981-8088,대구,동구,대구광역시 동구 파계로 685(중대동),,"양식, 스테이크"
358,꼬꼬하우스,053-956-7851,대구,동구,대구광역시 동구 아양로 53-5(신암동),,"닭똥집튀김,치킨"
359,고은세탁할인점,053-954-5353,대구,동구,"대구광역시 동구 팔공로51길 11, 1층 109호(봉무동)",,세탁서비스
360,홍천뚝배기 본점식당,053-615-0707,대구,달성군,대구광역시 달성군 논공읍 논공로 814,,뼈해장국
361,원조현풍박소선할매집곰탕㈜,053-611-3553,대구,달성군,대구광역시 달성군 현풍읍 현풍중앙로 56-1,,곰탕
362,동곡원조할매손칼국수식당,053-582-0278,대구,달성군,"대구광역시 달성군 하빈면 달구벌대로55길 101, 1층",,손칼국수
363,합천명품시계,053-656-7589,대구,남구,대구광역시 남구 대명로 125(대명동),,시계
364,1969양동통닭,062-364-5410,광주,서구,"광주광역시 서구 천변좌로 260-1, 1층(양동)",,통닭
365,윤성지미용실,062-371-6268,광주,동구,"광주광역시 동구 동계로 38, 123동 1층 12호(산수동)",,미용실
366,라인뷰티샵,062-521-8482,광주,동구,광주광역시 동구 무등로 300(계림동),,미용
367,노틀담&바이슨,062-223-3302,광주,동구,"광주광역시 동구 충장로 58, 1층(충장로4가)",,"기성화, 수제화"
368,국제복장,062-223-9334,광주,동구,광주광역시 동구 충장로 55(충장로4가),,"정장, 양복"
369,기맹례헤어숍,062-675-7689,광주,남구,"광주광역시 남구 백운로 5, 1층(백운동)",,미용
370,삼성영신직매장,062-673-6703,광주,남구,광주광역시 남구 중앙로 85(서동),,가전제품
371,송정떡갈비,062-944-1439,광주,광산구,광주광역시 광산구 광산로29번길 1(송정동),,떡갈비
372,새송정,062-941-3353,광주,광산구,광주광역시 광산구 광산로 31(송정동),,떡갈비
373,강산식당,054-275-9030,경북,포항시,경상북도 포항시 북구 죽도로40번길 21(죽도동),,한식
374,올림픽사,054-247-3377,경북,포항시,경상북도 포항시 북구 중앙상가3길 19-6(상원동),,고급운동용구
375,㈜한미식당,054-974-0390,경북,칠곡군,경상북도 칠곡군 왜관읍 석전로 159,,양식
376,주왕상청솔식당,054-873-8808,경북,청송군,경상북도 청송군 주왕산면 공원길 162,,더덕정식
377,정우숯불가든,054-373-2680,경북,청도군,경상북도 청도군 청도읍 청화로 252,,돼지갈비
378,하눅베이커리,054-332-2255,경북,영천시,경상북도 영천시 강변로 44(금노동),,제과
379,삼송꾼만두,054-333-8806,경북,영천시,경상북도 영천시 중앙동1길 12(문외동),,만두
380,헛제사밥 (맛50년),054-821-2944,경북,안동시,경상북도 안동시 석주로 201(상아동),,헛제사밥
381,서울복어식당,054-857-7051,경북,안동시,경상북도 안동시 태사1길 22(북문동),,복어요리
382,종로서적,054-853-4900,경북,안동시,경상북도 안동시 경북대로 415(옥동),,서적
383,새불고기식당,054-932-9955,경북,성주군,경상북도 성주군 초전면 대고로 22,,소불고기
384,예천가든,054-672-8911,경북,봉화군,경상북도 봉화군 봉성면 진의실길 4-1,,"백숙, 닭불고기"
385,퀼트하우스,054-555-1969,경북,문경시,경상북도 문경시 중앙로 155(점촌동),,수예품
386,부흥농자재,054-571-6356,경북,문경시,경상북도 문경시 가은읍 대야로 2513,,"농약, 종묘"
387,에버그린베이커리,054-956-1602,경북,고령군,경상북도 고령군 대가야읍 중앙로 13-1,,"우리밀빵, 천연효모빵"
388,털보매운탕,054-762-9292,경북,경주시,경상북도 경주시 안강읍 딱실길 14-6,,메기매운탕
389,주식회사 맷돌순두부,054-745-2791,경북,경주시,경상북도 경주시 북군길 7(북군동),,맷돌순두부
390,고바우식당,055-932-7311,경남,합천군,경상남도 합천군 가야면 해인사길 122,,"산채정식, 송이버섯요리"
391,"은혜갈비, 식육식당",055-644-7621,경남,통영시,경상남도 통영시 광도면 죽림4로 23-37,,식육
392,심가네해물짬뽕,055-649-8215,경남,통영시,"경상남도 통영시 새터길 74-4, 1층(서호동)",,중화요리
393,마라도횟집,055-644-2590,경남,통영시,경상남도 통영시 미수해안로 120(미수동),,"회, 매운탕"
394,필헤어클리닉,055-545-2842,경남,창원시,"경상남도 창원시 진해구 충장로 440, 1층(이동)",,미용
395,영진오토,055-758-5009,경남,진주시,경상남도 진주시 강남로 149(칠암동),,자동차관련용품
396,임진각식당,055-256-3535,경남,창원시,경상남도 창원시 의창구 팔용로 515(팔용동),,한식
397,죽림산방,055-374-3392,경남,양산시,경상남도 양산시 상북면 대석2길 13,,약선음식
398,이지단팥빵,055-383-2688,경남,양산시,경상남도 양산시 장터2길 10-1(중부동),,제과
399,덕합반점,055-852-2165,경남,사천시,경상남도 사천시 사천읍 읍내1길 81,,중화요리
400,인혜돌곱창,055-242-7936,경남,창원시,경상남도 창원시 마산합포구 교방천남길 320(오동동),,곱창
401,영신상회,055-246-9686,경남,창원시,경상남도 창원시 마산합포구 남성동 60,,수산물중개업
402,김옥연한복,055-224-1436,경남,창원시,경상남도 창원시 마산합포구 문화남4길 2(월남동3가),,한복
403,시장횟집(한림면),055-342-8000,경남,김해시,경상남도 김해시 한림면 한림로352번길 18,,회
404,시장횟집(무계동),055-314-3206,경남,김해시,경상남도 김해시 무계동 191-10,,회
405,가야양념족발,055-331-7882,경남,김해시,경상남도 김해시 분성로 54(외동),,족발
406,대동목욕탕,055-335-6454,경남,김해시,경상남도 김해시 대동면 동남로85번길 52,,대중탕
407,쌍쌍식육식당,055-943-2428,경남,거창군,경상남도 거창군 가조면 가조가야로 1096,,식육
408,대지식당,031-352-6117,경기,화성시,경기도 화성시 팔탄면 서촌길21번길 8,,"순대국밥, 비빔국수"
409,나래궁,031-223-0300,경기,화성시,경기도 화성시 반정로 151(반정동),,짜장면
410,대영철물,031-351-1078,경기,화성시,경기도 화성시 우정읍 조암남로 19,,철물
411,진미식당,063-856-4422,경기,평택시,경기도 평택시 통복시장2로9번길 15(통복동),,"육회비빔밥, 선지국밥"
412,주식회사 최네집,031-663-8922,경기,평택시,경기도 평택시 경기대로 1401(서정동),,부대찌개
413,대창통닭,031-652-9254,경기,평택시,경기도 평택시 자유로3번길 23(평택동),,옛날통닭
414,보배집,031-941-3660,경기,파주시,"경기도 파주시 시청로 13, 1층(금촌동,  백운빌딩 1층)",,육개장
415,김성래피자,031-636-0856,경기,이천시,경기도 이천시 부발읍 경충대로 2091(161필지),,피자
416,일미만두1981의정부,031-876-1981,경기,의정부시,"경기도 의정부시 평화로 311, 1층전체(호원동)",,만두전골
417,곰보(Gombo),031-848-1755,경기,의정부시,"경기도 의정부시 태평로73번길 20, 나동 1층 44호(의정부동, 의정부제일시장)",,냉면
418,산하식당,031-871-9369,경기,양주시,경기도 양주시 백석읍 기산로 410,,"한우,양갈비,오리"
419,헤어살롱B&G,031-457-3213,경기,안양시,경기도 안양시 동안구 경수대로570번길 9(호계동),,헤어
420,모박사,031-676-1508,경기,안성시,경기도 안성시 대덕면 서동대로 4653,,부대찌개
421,솔로몬베이커리카페,031-486-6064,경기,안산시,"경기도 안산시 단원구 선이로 14, 1120호, 1121호(선부동, 제일종합시장)",,"제과, 카페"
422,현대마트,031-418-1568,경기,안산시,"경기도 안산시 상록구 감골2로 10(사동, 현대2차 분산상가 101호~102호)",,"잡화, 식료"
423,이태리안경,02-888-4849,경기,안산시,"경기도 안산시 단원구 라성로 36, 13-호(원곡동, 반월종합)",,안경
424,흙과사람들,031-318-3822,경기,시흥시,"경기도 시흥시 비둘기공원로 21(대야동 201,202,203)",,한식
425,송탄부대찌개,031-318-5377,경기,시흥시,"경기도 시흥시 시청로68번길 10, 101호(장현동, 봉빈빌딩)",,부대찌개
426,호남순대,031-255-0498,경기,수원시,"경기도 수원시 팔달구 팔달문로 19(지동, A동 5호)",,순대집
427,입주집,031-255-5384,경기,수원시,경기도 수원시 팔달구 팔달문로3번길 37(팔달로1가),,소곱장전문점
428,연포갈비,031-255-1337,경기,수원시,경기도 수원시 팔달구 정조로906번길 56-5(북수동),,갈비집
429,고향순대국,031-241-4924,경기,수원시,경기도 수원시 장안구 수성로370번길 52(영화동),,순대
430,조한약방,031-255-6398,경기,수원시,경기도 수원시 팔달구 정조로 792(팔달로2가),,한약
431,참맛나리아,031-747-2338,경기,성남시,경기도 성남시 수정구 시민로142번길 12-2(신흥동),,찜닭
432,진성삼계탕,031-745-3393,경기,성남시,경기도 성남시 수정구 산성대로255번길 8-5(신흥동),,삼계탕
433,이재영의 삐삐처럼,,경기,성남시,"경기도 성남시 수정구 수정남로268번길 20, 1층(산성동)",,미용실
434,프랑세즈,032-668-1381,경기,부천시,경기도 부천시 경인로 218(심곡본동),,제과제빵
435,복사골뼈다귀해장국,032-342-7895,경기,부천시,경기도 부천시 부일로 713(역곡동),,뼈다귀해장국
436,금미당(금미주얼리),032-655-1632,경기,부천시,경기도 부천시 부흥로 189(중동),,귀금속
437,텍사스바베큐,031-861-3634,경기,동두천시,경기도 동두천시 중앙로 366(생연동),,바베큐치킨
438,진미옥설농탕,02-400-2131,경기,동두천시,경기도 동두천시 생연로 185-1(생연동),,설렁탕
439,동양당(솔앤솔SOLNSOL),031-577-0494,경기,남양주시,경기도 남양주시 와부읍 수레로 2,,"주얼리, 귀금속"
440,수빈관,031-998-9229,경기,김포시,경기도 김포시 통진읍 김포대로 2374,,중식
441,나룻터숯불장어구이,031-981-1071,경기,김포시,경기도 김포시 월곶면 김포대로3023번길 96,,장어
442,양평기름집,031-562-0678,경기,구리시,경기도 구리시 안골로97번길 36(수택동),,기름
443,수양농장가든,031-762-6966,경기,광주시,경기도 광주시 곤지암읍 경충대로 295번길 110-3,,흑염소 요리
444,아이랜드안경,031-901-1991,경기,고양시,경기도 고양시 일산동구 일산로 197(마두동),,안경/콘택트렌즈
445,고향떡집,031-906-1120,경기,고양시,"경기도 고양시 일산동구 일산로 197, 1층 1064, 1065, 1066, 1067호 (마두동, 센터21)",,떡
446,고려분재연구원,02-385-2937,경기,고양시,경기도 고양시 덕양구 서오릉로 334-41(용두동),,"원예,교육,분재"
447,함밭식당,033-343-8900,강원,횡성군,강원도 횡성군 횡성읍 섬강로 88(206-3),,한우전문점
448,조가네,033-343-9925,강원,횡성군,강원도 횡성군 횡성읍 섬강로 347,,"막국수,보쌈"
449,박현자네 더덕밥,033-344-1116,강원,횡성군,강원도 횡성군 횡성읍 횡성로 59,,더덕요리
450,메밀방아용둔막국수,033-342-2695,강원,횡성군,강원도 횡성군 우천면 경강로 2883,,막국수
451,봉평메밀미가연,033-335-8805,강원,평창군,강원도 평창군 봉평면 기풍로 108,,메밀요리
452,휘닉스그린텔,033-333-0091,강원,평창군,강원도 평창군 봉평면 태기로 73,,여관
453,실비막국수,033-254-2472,강원,춘천시,강원도 춘천시 소양고개길 25(소양로2가),,막국수
454,정선면옥,033-562-2233,강원,정선군,강원도 정선군 정선읍 봉양5길 35,,"막국수, 칼국수"
455,민생회관,033-742-2837,강원,원주시,"강원도 원주시 중앙로 46, 1층(중앙동)",,"찜닭, 곤드레밥"
456,동강다슬기,033-374-2821,강원,영월군,강원도 영월군 영월읍 영월로 2105,,다슬기정식
457,양구재래식손두부,033-482-4475,강원,양구군,강원도 양구군 양구읍 학안로 6,,두부전문
458,수원갈비,033-635-2757,강원,속초시,"강원도 속초시 엑스포로1길 28, 1층(조양동)",,갈비
459,돌고래회센터,033-637-5266,강원,속초시,강원도 속초시 대포항희망길 49(대포동),,"물회, 회"
460,천일안경원,033-633-1001,강원,속초시,강원도 속초시 중앙로 122(금호동),,안경
461,부산식당,033-648-3422,강원,강릉시,강원도 강릉시 중앙시장길 22-1(성남동),,소머리국밥
462,명륜당서점,043-731-1990,충북,옥천군,충청북도 옥천군 옥천읍 중앙로 36-1,,서점
463,경진각,043-731-2357,충북,옥천군,충청북도 옥천군 옥천읍 중앙로4길 11번지,,중화요리
464,북일정육,043-221-4594,충북,청주시,충청북도 청주시 청원구 향군로41번길 11-5(우암동),,식육판매
465,남한강횟집,043-851-2544,충북,충주시,충청북도 충주시 동량면 호반로 7,,"매운탕, 비빔회"
466,대림문구사,043-645-2034,충북,제천시,충청북도 제천시 의병대로18길 54(화산동),,문구
467,새재황토방,043-833-5506,충북,괴산군,충청북도 괴산군 연풍면 새재로 1833,,버섯 및 닭요리
468,할머니집식당,043-536-7891,충북,진천군,충청북도 진천군 이월면 화산동길 18,,오리구이
469,토속식당,041-855-4706,충남,공주시,"충청남도 공주시 백미고을길 5-7, 1층(금성동)",,우렁된장찌개
470,조일사진관,041-355-2245,충남,당진시,충청남도 당진시 당진중앙2로 33-19(읍내동),,사진관
471,광천해산물상사,041-641-2515,충남,홍성군,충청남도 홍성군 광천읍 광천로299번길 36,,"새우젓,젓갈류"
472,구두래황토정,041-833-6263,충남,부여군,충청남도 부여군 규암면 백제문로 30,,한우갈비전문
473,구드래돌쌈밥,041-836-9259,충남,부여군,충청남도 부여군 부여읍 나루터로 31,,돌쌈밥
474,보름베이커리,063-855-2125,전북,익산시,전라북도 익산시 인북로6길 7,,제과
475,교동다원,063-282-7133,전북,전주시,전라북도 전주시 완산구 은행로 65-5(교동),,전통차
476,만성한정식,063-284-4141,전북,전주시,전라북도 전주시 완산구 바우배기1길 31-9 2층(효자동2가),,한정식
477,신한양불고기,063-284-7331,전북,전주시,전라북도 전주시 완산구 전주객사3길 11(중앙동 1가),,돼지불고기
478,영흥관,063-284-5628,전북,전주시,전라북도 전주시 완산구 현무1길 17(경원동 3가),,물짜장
479,유한회사한국집,063-284-2224,전북,전주시,전라북도 전주시 완산구 어진길 119(전동),,전주비빔밥
480,반공방첩,032-763-2457,인천,동구,인천광역시 동구 샛골로 128(송림동),,갈비
481,신흥숯불갈비,032-883-7717,인천,중구,인천광역시 중구 서해대로454번길 14-2(선화동),,갈비
482,정자참가자미,052-222-8814,울산,남구,울산광역시 남구 왕생로45번길 3(달동),,참가자미회
483,궁중삼계탕,052-244-1156,울산,중구,울산광역시 중구 먹자거리 6(성남동),,삼계탕
484,조희미용실,052-244-9507,울산,중구,울산광역시 중구 학성로 114(옥교동),,미용실
485,향호면옥,02-406-0422,서울,송파구,"서울특별시 송파구 마천로 79(오금동, 장한빌딩)",,"칼국수, 만두"
